step,loss,elapsed_time
0,0.9329285621643066,3.243704
0,1.8313902616500854,4.964056
0,1.245173692703247,6.402025
0,1.6855347156524658,8.277432
1,1.7069579362869263,10.359553
1,1.4718025922775269,11.954296
1,1.2064306735992432,13.297773
1,1.6192193031311035,15.037418
2,1.8255501985549927,16.51577
2,1.4293197393417358,17.958092
2,1.6101943254470825,19.493228
2,1.3370792865753174,20.944609
3,1.4223862886428833,22.621153
3,1.8926124572753906,25.284013
3,1.3531612157821655,26.903709
3,1.728811264038086,28.575594
4,0.9864089488983154,30.033169
4,1.4178162813186646,31.938074
4,1.489361047744751,34.212523
4,2.247920513153076,38.629102
5,2.1772429943084717,40.828619
5,1.088176965713501,42.525822
5,1.58101487159729,44.790078
5,1.20919668674469,46.427797
6,1.2760460376739502,48.130798
6,1.2088898420333862,49.585351
6,1.9641189575195312,51.723075
6,1.3030025959014893,53.241827
7,1.7088329792022705,55.074069
7,1.5603718757629395,56.793089
7,1.7265340089797974,58.756907
7,1.3763282299041748,59.890037
8,2.164055109024048,62.023819
8,0.8941548466682434,63.561648
8,1.6419836282730103,65.140984
8,1.5248197317123413,66.825814
9,1.3059993982315063,68.731798
9,1.232869267463684,70.233349
9,1.4075326919555664,71.586283
9,1.5703368186950684,72.956364
10,1.2636253833770752,74.934918
10,1.3823089599609375,76.641379
10,1.9684624671936035,78.024745
10,2.0173938274383545,79.456262
11,1.174342155456543,81.286767
11,1.1956322193145752,82.865455
11,1.8629454374313354,85.222289
11,1.4925750494003296,86.698445
12,1.1538175344467163,88.255864
12,1.8669917583465576,89.863762
12,1.289265751838684,91.311088
12,1.5501455068588257,92.763653
13,1.7587443590164185,94.456961
13,0.8233626484870911,96.998618
13,1.2982550859451294,98.631575
13,1.5018200874328613,100.341659
14,1.684921383857727,102.25215
14,1.250893235206604,104.150268
14,1.1784815788269043,106.668311
14,1.8598906993865967,109.165422
15,2.0534300804138184,112.863211
15,1.421400785446167,114.899767
15,1.5505305528640747,116.890844
15,1.7601613998413086,119.303754
16,1.3905653953552246,120.769032
16,1.4388561248779297,122.998053
16,1.4024007320404053,124.917127
16,1.2652151584625244,126.075311
17,1.239072322845459,127.478981
17,0.8229339718818665,129.032211
17,1.5329220294952393,130.285212
17,1.3183811902999878,131.841944
18,1.5655583143234253,133.759683
18,1.4561104774475098,135.505372
18,1.5422308444976807,137.502421
18,1.5760488510131836,139.633123
19,1.329420566558838,141.270416
19,1.4513167142868042,142.977851
19,1.3328946828842163,144.424491
19,1.2520248889923096,146.312179
20,1.5046838521957397,148.249722
20,1.7403727769851685,149.802604
20,1.3449900150299072,151.378662
20,1.4683165550231934,152.793907
21,1.2219023704528809,154.314512
21,1.2846311330795288,155.904791
21,1.2459393739700317,157.885739
21,1.4744809865951538,159.895346
22,1.0164716243743896,161.659861
22,0.9070236682891846,163.182101
22,1.648854374885559,164.757786
22,0.9357517957687378,166.372677
23,1.4200806617736816,168.370641
23,1.0298517942428589,170.001019
23,1.3789174556732178,172.386042
23,1.3912609815597534,175.115473
24,1.43666672706604,178.253118
24,1.0058107376098633,180.343725
24,1.5907175540924072,182.803122
24,1.0101977586746216,184.578319
25,1.1428234577178955,186.556345
25,1.013886570930481,188.663968
25,0.8997229337692261,190.016446
25,1.2983874082565308,191.587918
26,0.9312881231307983,193.281459
